sample_title	cell_type
914mat_E12	Ana2 matrix cells (TACs)
914mat_E1	Ana2 matrix cells (TACs)
914mat_E2	Ana2 matrix cells (TACs)
914mat_E3	Ana2 matrix cells (TACs)
914mat_E4	Ana2 matrix cells (TACs)
914mat_E5	Ana2 matrix cells (TACs)
914mat_E6	Ana2 matrix cells (TACs)
914mat_E7	Ana2 matrix cells (TACs)
914mat_E8	Ana2 matrix cells (TACs)
914mat_E9	Ana2 matrix cells (TACs)
914mat_F10	Ana2 matrix cells (TACs)
914mat_F11	Ana2 matrix cells (TACs)
914mat_F1	Ana2 matrix cells (TACs)
914mat_F2	Ana2 matrix cells (TACs)
914mat_F4	Ana2 matrix cells (TACs)
914mat_F5	Ana2 matrix cells (TACs)
914mat_F7	Ana2 matrix cells (TACs)
914mat_G10	Ana2 matrix cells (TACs)
914mat_G11	Ana2 matrix cells (TACs)
914mat_G1	Ana2 matrix cells (TACs)
914mat_G2	Ana2 matrix cells (TACs)
914mat_G3	Ana2 matrix cells (TACs)
914mat_G5	Ana2 matrix cells (TACs)
914mat_G6	Ana2 matrix cells (TACs)
914mat_G7	Ana2 matrix cells (TACs)
914mat_G8	Ana2 matrix cells (TACs)
914mat_G9	Ana2 matrix cells (TACs)
914mat_H10	Ana2 matrix cells (TACs)
914mat_H11	Ana2 matrix cells (TACs)
914mat_H2	Ana2 matrix cells (TACs)
914mat_H3	Ana2 matrix cells (TACs)
914mat_H4	Ana2 matrix cells (TACs)
914mat_H5	Ana2 matrix cells (TACs)
914mat_H6	Ana2 matrix cells (TACs)
914mat_H7	Ana2 matrix cells (TACs)
914mat_H8	Ana2 matrix cells (TACs)
914mat_H9	Ana2 matrix cells (TACs)
915mat_A10	Ana2 matrix cells (TACs)
915mat_A11	Ana2 matrix cells (TACs)
915mat_A12	Ana2 matrix cells (TACs)
915mat_A1	Ana2 matrix cells (TACs)
915mat_A3	Ana2 matrix cells (TACs)
915mat_A5	Ana2 matrix cells (TACs)
915mat_A6	Ana2 matrix cells (TACs)
915mat_A7	Ana2 matrix cells (TACs)
915mat_A8	Ana2 matrix cells (TACs)
915mat_A9	Ana2 matrix cells (TACs)
915mat_B10	Ana2 matrix cells (TACs)
915mat_B11	Ana2 matrix cells (TACs)
915mat_B1	Ana2 matrix cells (TACs)
915mat_B2	Ana2 matrix cells (TACs)
915mat_B3	Ana2 matrix cells (TACs)
915mat_B4	Ana2 matrix cells (TACs)
915mat_B5	Ana2 matrix cells (TACs)
915mat_B7	Ana2 matrix cells (TACs)
915mat_B8	Ana2 matrix cells (TACs)
915mat_B9	Ana2 matrix cells (TACs)
915mat_C1	Ana2 matrix cells (TACs)
915mat_C2	Ana2 matrix cells (TACs)
915mat_C4	Ana2 matrix cells (TACs)
915mat_C5	Ana2 matrix cells (TACs)
915mat_C6	Ana2 matrix cells (TACs)
915mat_C9	Ana2 matrix cells (TACs)
915mat_D10	Ana2 matrix cells (TACs)
915mat_D11	Ana2 matrix cells (TACs)
915mat_D12	Ana2 matrix cells (TACs)
915mat_D1	Ana2 matrix cells (TACs)
915mat_D2	Ana2 matrix cells (TACs)
915mat_D4	Ana2 matrix cells (TACs)
915mat_D5	Ana2 matrix cells (TACs)
915mat_D6	Ana2 matrix cells (TACs)
915mat_D7	Ana2 matrix cells (TACs)
915mat_D8	Ana2 matrix cells (TACs)
915mat_D9	Ana2 matrix cells (TACs)
915mat_E10	Ana2 matrix cells (TACs)
915mat_E11	Ana2 matrix cells (TACs)
915mat_E12	Ana2 matrix cells (TACs)
915mat_E1	Ana2 matrix cells (TACs)
915mat_E2	Ana2 matrix cells (TACs)
915mat_E4	Ana2 matrix cells (TACs)
915mat_E5	Ana2 matrix cells (TACs)
915mat_E6	Ana2 matrix cells (TACs)
915mat_E7	Ana2 matrix cells (TACs)
915mat_E8	Ana2 matrix cells (TACs)
915mat_E9	Ana2 matrix cells (TACs)
915mat_F10	Ana2 matrix cells (TACs)
915mat_F11	Ana2 matrix cells (TACs)
915mat_F12	Ana2 matrix cells (TACs)
915mat_F1	Ana2 matrix cells (TACs)
915mat_F2	Ana2 matrix cells (TACs)
915mat_F3	Ana2 matrix cells (TACs)
915mat_F4	Ana2 matrix cells (TACs)
915mat_F5	Ana2 matrix cells (TACs)
915mat_F6	Ana2 matrix cells (TACs)
915mat_F7	Ana2 matrix cells (TACs)
915mat_F8	Ana2 matrix cells (TACs)
915mat_F9	Ana2 matrix cells (TACs)
915mat_G10	Ana2 matrix cells (TACs)
915mat_G11	Ana2 matrix cells (TACs)
915mat_G2	Ana2 matrix cells (TACs)
915mat_G3	Ana2 matrix cells (TACs)
915mat_G4	Ana2 matrix cells (TACs)
915mat_G5	Ana2 matrix cells (TACs)
915mat_G7	Ana2 matrix cells (TACs)
915mat_G8	Ana2 matrix cells (TACs)
915mat_G9	Ana2 matrix cells (TACs)
915mat_H11	Ana2 matrix cells (TACs)
915mat_H3	Ana2 matrix cells (TACs)
915mat_H4	Ana2 matrix cells (TACs)
915mat_H5	Ana2 matrix cells (TACs)
915mat_H6	Ana2 matrix cells (TACs)
915mat_H7	Ana2 matrix cells (TACs)
915mat_H9	Ana2 matrix cells (TACs)
920mat_A11	Ana2 matrix cells (TACs)
920mat_A12	Ana2 matrix cells (TACs)
920mat_A1	Ana2 matrix cells (TACs)
920mat_A2	Ana2 matrix cells (TACs)
920mat_A3	Ana2 matrix cells (TACs)
920mat_A4	Ana2 matrix cells (TACs)
920mat_A5	Ana2 matrix cells (TACs)
920mat_A6	Ana2 matrix cells (TACs)
920mat_A9	Ana2 matrix cells (TACs)
920mat_B10	Ana2 matrix cells (TACs)
920mat_B11	Ana2 matrix cells (TACs)
920mat_B12	Ana2 matrix cells (TACs)
920mat_B1	Ana2 matrix cells (TACs)
920mat_B3	Ana2 matrix cells (TACs)
920mat_B4	Ana2 matrix cells (TACs)
920mat_B5	Ana2 matrix cells (TACs)
920mat_B7	Ana2 matrix cells (TACs)
920mat_B8	Ana2 matrix cells (TACs)
920mat_B9	Ana2 matrix cells (TACs)
920mat_C10	Ana2 matrix cells (TACs)
920mat_C2	Ana2 matrix cells (TACs)
920mat_C4	Ana2 matrix cells (TACs)
920mat_C5	Ana2 matrix cells (TACs)
920mat_C6	Ana2 matrix cells (TACs)
920mat_C7	Ana2 matrix cells (TACs)
920mat_C8	Ana2 matrix cells (TACs)
920mat_C9	Ana2 matrix cells (TACs)
920mat_D10	Ana2 matrix cells (TACs)
920mat_D11	Ana2 matrix cells (TACs)
920mat_D12	Ana2 matrix cells (TACs)
920mat_D1	Ana2 matrix cells (TACs)
920mat_D3	Ana2 matrix cells (TACs)
920mat_D5	Ana2 matrix cells (TACs)
920mat_D6	Ana2 matrix cells (TACs)
920mat_D7	Ana2 matrix cells (TACs)
920mat_E12	Ana2 matrix cells (TACs)
920mat_E1	Ana2 matrix cells (TACs)
920mat_E2	Ana2 matrix cells (TACs)
920mat_E4	Ana2 matrix cells (TACs)
920mat_E6	Ana2 matrix cells (TACs)
920mat_E7	Ana2 matrix cells (TACs)
920mat_E8	Ana2 matrix cells (TACs)
920mat_E9	Ana2 matrix cells (TACs)
920mat_F10	Ana2 matrix cells (TACs)
920mat_F12	Ana2 matrix cells (TACs)
920mat_F2	Ana2 matrix cells (TACs)
920mat_F3	Ana2 matrix cells (TACs)
920mat_F4	Ana2 matrix cells (TACs)
920mat_F6	Ana2 matrix cells (TACs)
920mat_F7	Ana2 matrix cells (TACs)
920mat_F8	Ana2 matrix cells (TACs)
920mat_F9	Ana2 matrix cells (TACs)
920mat_G10	Ana2 matrix cells (TACs)
920mat_G11	Ana2 matrix cells (TACs)
920mat_G1	Ana2 matrix cells (TACs)
920mat_G2	Ana2 matrix cells (TACs)
920mat_G3	Ana2 matrix cells (TACs)
920mat_G4	Ana2 matrix cells (TACs)
920mat_G7	Ana2 matrix cells (TACs)
920mat_G8	Ana2 matrix cells (TACs)
920mat_G9	Ana2 matrix cells (TACs)
920mat_H11	Ana2 matrix cells (TACs)
920mat_H3	Ana2 matrix cells (TACs)
920mat_H4	Ana2 matrix cells (TACs)
920mat_H5	Ana2 matrix cells (TACs)
920mat_H6	Ana2 matrix cells (TACs)
920mat_H7	Ana2 matrix cells (TACs)
920mat_H8	Ana2 matrix cells (TACs)
P1-3-A10	Ana6 matrix cells (TACs)
P1-3-A11	Ana6 matrix cells (TACs)
P1-3-A12	Ana6 matrix cells (TACs)
P1-3-A1	Ana6 matrix cells (TACs)
P1-3-A2	Ana6 matrix cells (TACs)
P1-3-A3	Ana6 matrix cells (TACs)
P1-3-A4	Ana6 matrix cells (TACs)
P1-3-A5	Ana6 matrix cells (TACs)
P1-3-A6	Ana6 matrix cells (TACs)
P1-3-A7	Ana6 matrix cells (TACs)
P1-3-A8	Ana6 matrix cells (TACs)
P1-3-B10	Ana6 matrix cells (TACs)
P1-3-B12	Ana6 matrix cells (TACs)
P1-3-B2	Ana6 matrix cells (TACs)
P1-3-B3	Ana6 matrix cells (TACs)
P1-3-B4	Ana6 matrix cells (TACs)
P1-3-B5	Ana6 matrix cells (TACs)
P1-3-B6	Ana6 matrix cells (TACs)
P1-3-B7	Ana6 matrix cells (TACs)
P1-3-B8	Ana6 matrix cells (TACs)
P1-3-C10	Ana6 matrix cells (TACs)
P1-3-C11	Ana6 matrix cells (TACs)
P1-3-C1	Ana6 matrix cells (TACs)
P1-3-C2	Ana6 matrix cells (TACs)
P1-3-C3	Ana6 matrix cells (TACs)
P1-3-C4	Ana6 matrix cells (TACs)
P1-3-C5	Ana6 matrix cells (TACs)
P1-3-C6	Ana6 matrix cells (TACs)
P1-3-C7	Ana6 matrix cells (TACs)
P1-3-C8	Ana6 matrix cells (TACs)
P1-3-D10	Ana6 matrix cells (TACs)
P1-3-D12	Ana6 matrix cells (TACs)
P1-3-D1	Ana6 matrix cells (TACs)
P1-3-D2	Ana6 matrix cells (TACs)
P1-3-D3	Ana6 matrix cells (TACs)
P1-3-D5	Ana6 matrix cells (TACs)
P1-3-D7	Ana6 matrix cells (TACs)
P1-3-D8	Ana6 matrix cells (TACs)
P1-3-D9	Ana6 matrix cells (TACs)
P1-3-E10	Ana6 matrix cells (TACs)
P1-3-E11	Ana6 matrix cells (TACs)
P1-3-E12	Ana6 matrix cells (TACs)
P1-3-E1	Ana6 matrix cells (TACs)
P1-3-E2	Ana6 matrix cells (TACs)
P1-3-E3	Ana6 matrix cells (TACs)
P1-3-E4	Ana6 matrix cells (TACs)
P1-3-E5	Ana6 matrix cells (TACs)
P1-3-E8	Ana6 matrix cells (TACs)
P1-3-F10	Ana6 matrix cells (TACs)
P1-3-F11	Ana6 matrix cells (TACs)
P1-3-F12	Ana6 matrix cells (TACs)
P1-3-F1	Ana6 matrix cells (TACs)
P1-3-F2	Ana6 matrix cells (TACs)
P1-3-F3	Ana6 matrix cells (TACs)
P1-3-F5	Ana6 matrix cells (TACs)
P1-3-F8	Ana6 matrix cells (TACs)
P1-3-F9	Ana6 matrix cells (TACs)
P1-3-G12	Ana6 matrix cells (TACs)
P1-3-G1	Ana6 matrix cells (TACs)
P1-3-G2	Ana6 matrix cells (TACs)
P1-3-G3	Ana6 matrix cells (TACs)
P1-3-G4	Ana6 matrix cells (TACs)
P1-3-G5	Ana6 matrix cells (TACs)
P1-3-G6	Ana6 matrix cells (TACs)
P1-3-G7	Ana6 matrix cells (TACs)
P1-3-H10	Ana6 matrix cells (TACs)
P1-3-H11	Ana6 matrix cells (TACs)
P1-3-H12	Ana6 matrix cells (TACs)
P1-3-H1	Ana6 matrix cells (TACs)
P1-3-H2	Ana6 matrix cells (TACs)
P1-3-H3	Ana6 matrix cells (TACs)
P1-3-H4	Ana6 matrix cells (TACs)
P1-3-H5	Ana6 matrix cells (TACs)
P1-3-H6	Ana6 matrix cells (TACs)
P1-3-H7	Ana6 matrix cells (TACs)
P1-3-H9	Ana6 matrix cells (TACs)
P1-4-A11	Ana6 matrix cells (TACs)
P1-4-A12	Ana6 matrix cells (TACs)
P1-4-A1	Ana6 matrix cells (TACs)
P1-4-A2	Ana6 matrix cells (TACs)
P1-4-A3	Ana6 matrix cells (TACs)
P1-4-A4	Ana6 matrix cells (TACs)
P1-4-A5	Ana6 matrix cells (TACs)
P1-4-A8	Ana6 matrix cells (TACs)
P1-4-A9	Ana6 matrix cells (TACs)
P1-4-B10	Ana6 matrix cells (TACs)
P1-4-B11	Ana6 matrix cells (TACs)
P1-4-B12	Ana6 matrix cells (TACs)
P1-4-B1	Ana6 matrix cells (TACs)
P1-4-B2	Ana6 matrix cells (TACs)
P1-4-B3	Ana6 matrix cells (TACs)
P1-4-B4	Ana6 matrix cells (TACs)
P1-4-B5	Ana6 matrix cells (TACs)
P1-4-B8	Ana6 matrix cells (TACs)
P1-4-C11	Ana6 matrix cells (TACs)
P1-4-C12	Ana6 matrix cells (TACs)
P1-4-C1	Ana6 matrix cells (TACs)
P1-4-C2	Ana6 matrix cells (TACs)
P1-4-C4	Ana6 matrix cells (TACs)
P1-4-C5	Ana6 matrix cells (TACs)
P1-4-C6	Ana6 matrix cells (TACs)
P1-4-C8	Ana6 matrix cells (TACs)
P1-4-C9	Ana6 matrix cells (TACs)
P1-4-D10	Ana6 matrix cells (TACs)
P1-4-D11	Ana6 matrix cells (TACs)
P1-4-D12	Ana6 matrix cells (TACs)
P1-4-D1	Ana6 matrix cells (TACs)
P1-4-D2	Ana6 matrix cells (TACs)
P1-4-D3	Ana6 matrix cells (TACs)
P1-4-D4	Ana6 matrix cells (TACs)
P1-4-D5	Ana6 matrix cells (TACs)
P1-4-D7	Ana6 matrix cells (TACs)
P1-4-D8	Ana6 matrix cells (TACs)
P1-4-D9	Ana6 matrix cells (TACs)
P1-4-E10	Ana6 matrix cells (TACs)
P1-4-E12	Ana6 matrix cells (TACs)
P1-4-E2	Ana6 matrix cells (TACs)
P1-4-E3	Ana6 matrix cells (TACs)
P1-4-E4	Ana6 matrix cells (TACs)
P1-4-E5	Ana6 matrix cells (TACs)
P1-4-E6	Ana6 matrix cells (TACs)
P1-4-E7	Ana6 matrix cells (TACs)
P1-4-E8	Ana6 matrix cells (TACs)
P1-4-E9	Ana6 matrix cells (TACs)
P1-4-F10	Ana6 matrix cells (TACs)
P1-4-F11	Ana6 matrix cells (TACs)
P1-4-F12	Ana6 matrix cells (TACs)
P1-4-F1	Ana6 matrix cells (TACs)
P1-4-F2	Ana6 matrix cells (TACs)
P1-4-F3	Ana6 matrix cells (TACs)
P1-4-F4	Ana6 matrix cells (TACs)
P1-4-F5	Ana6 matrix cells (TACs)
P1-4-F7	Ana6 matrix cells (TACs)
P1-4-F8	Ana6 matrix cells (TACs)
P1-4-F9	Ana6 matrix cells (TACs)
P1-4-G10	Ana6 matrix cells (TACs)
P1-4-G11	Ana6 matrix cells (TACs)
P1-4-G1	Ana6 matrix cells (TACs)
P1-4-G2	Ana6 matrix cells (TACs)
P1-4-G3	Ana6 matrix cells (TACs)
P1-4-G4	Ana6 matrix cells (TACs)
P1-4-G5	Ana6 matrix cells (TACs)
P1-4-G6	Ana6 matrix cells (TACs)
P1-4-G7	Ana6 matrix cells (TACs)
P1-4-G8	Ana6 matrix cells (TACs)
P1-4-G9	Ana6 matrix cells (TACs)
P1-4-H10	Ana6 matrix cells (TACs)
P1-4-H11	Ana6 matrix cells (TACs)
P1-4-H12	Ana6 matrix cells (TACs)
P1-4-H1	Ana6 matrix cells (TACs)
P1-4-H2	Ana6 matrix cells (TACs)
P1-4-H6	Ana6 matrix cells (TACs)
P1-4-H8	Ana6 matrix cells (TACs)
P1-4-H9	Ana6 matrix cells (TACs)
P1-5-A10	Ana6 matrix cells (TACs)
P1-5-A11	Ana6 matrix cells (TACs)
P1-5-A12	Ana6 matrix cells (TACs)
P1-5-A2	Ana6 matrix cells (TACs)
P1-5-A3	Ana6 matrix cells (TACs)
P1-5-A5	Ana6 matrix cells (TACs)
P1-5-A6	Ana6 matrix cells (TACs)
P1-5-A7	Ana6 matrix cells (TACs)
P1-5-A9	Ana6 matrix cells (TACs)
P1-5-B10	Ana6 matrix cells (TACs)
P1-5-B11	Ana6 matrix cells (TACs)
P1-5-B12	Ana6 matrix cells (TACs)
P1-5-B1	Ana6 matrix cells (TACs)
P1-5-B3	Ana6 matrix cells (TACs)
P1-5-B5	Ana6 matrix cells (TACs)
P1-5-B7	Ana6 matrix cells (TACs)
P1-5-B8	Ana6 matrix cells (TACs)
P1-5-B9	Ana6 matrix cells (TACs)
P1-5-C10	Ana6 matrix cells (TACs)
P1-5-C11	Ana6 matrix cells (TACs)
P1-5-C12	Ana6 matrix cells (TACs)
P1-5-C1	Ana6 matrix cells (TACs)
P1-5-C2	Ana6 matrix cells (TACs)
P1-5-C3	Ana6 matrix cells (TACs)
P1-5-C4	Ana6 matrix cells (TACs)
P1-5-C5	Ana6 matrix cells (TACs)
P1-5-C6	Ana6 matrix cells (TACs)
P1-5-C7	Ana6 matrix cells (TACs)
P1-5-C8	Ana6 matrix cells (TACs)
P1-5-C9	Ana6 matrix cells (TACs)
P1-5-D10	Ana6 matrix cells (TACs)
P1-5-D11	Ana6 matrix cells (TACs)
P1-5-D1	Ana6 matrix cells (TACs)
P1-5-D2	Ana6 matrix cells (TACs)
P1-5-D3	Ana6 matrix cells (TACs)
P1-5-D4	Ana6 matrix cells (TACs)
P1-5-D5	Ana6 matrix cells (TACs)
P1-5-D7	Ana6 matrix cells (TACs)
P1-5-D8	Ana6 matrix cells (TACs)
P1-5-E10	Ana6 matrix cells (TACs)
P1-5-E11	Ana6 matrix cells (TACs)
P1-5-E12	Ana6 matrix cells (TACs)
P1-5-E1	Ana6 matrix cells (TACs)
P1-5-E4	Ana6 matrix cells (TACs)
P1-5-E5	Ana6 matrix cells (TACs)
P1-5-E6	Ana6 matrix cells (TACs)
P1-5-E7	Ana6 matrix cells (TACs)
P1-5-E8	Ana6 matrix cells (TACs)
P1-5-E9	Ana6 matrix cells (TACs)
P1-5-F10	Ana6 matrix cells (TACs)
P1-5-F11	Ana6 matrix cells (TACs)
P1-5-F12	Ana6 matrix cells (TACs)
P1-5-F2	Ana6 matrix cells (TACs)
P1-5-F5	Ana6 matrix cells (TACs)
P1-5-F6	Ana6 matrix cells (TACs)
P1-5-F7	Ana6 matrix cells (TACs)
P1-5-F8	Ana6 matrix cells (TACs)
P1-5-F9	Ana6 matrix cells (TACs)
P1-5-G10	Ana6 matrix cells (TACs)
P1-5-G11	Ana6 matrix cells (TACs)
P1-5-G12	Ana6 matrix cells (TACs)
P1-5-G3	Ana6 matrix cells (TACs)
P1-5-G5	Ana6 matrix cells (TACs)
P1-5-G6	Ana6 matrix cells (TACs)
P1-5-G7	Ana6 matrix cells (TACs)
P1-5-G8	Ana6 matrix cells (TACs)
P1-5-G9	Ana6 matrix cells (TACs)
P1-5-H10	Ana6 matrix cells (TACs)
P1-5-H12	Ana6 matrix cells (TACs)
P1-5-H1	Ana6 matrix cells (TACs)
P1-5-H2	Ana6 matrix cells (TACs)
P1-5-H3	Ana6 matrix cells (TACs)
P1-5-H5	Ana6 matrix cells (TACs)
P1-5-H6	Ana6 matrix cells (TACs)
P1-5-H9	Ana6 matrix cells (TACs)
P1-6-A10	Ana6 matrix cells (TACs)
P1-6-A11	Ana6 matrix cells (TACs)
P1-6-A12	Ana6 matrix cells (TACs)
P1-6-A1	Ana6 matrix cells (TACs)
P1-6-A3	Ana6 matrix cells (TACs)
P1-6-A4	Ana6 matrix cells (TACs)
P1-6-A5	Ana6 matrix cells (TACs)
P1-6-A7	Ana6 matrix cells (TACs)
P1-6-A8	Ana6 matrix cells (TACs)
